code_commune_INSEE,code_postal,latitude,longitude,nom_commune,prix_m2_2020,prix_m2_2021,prix_loyer_appartement,prix_loyer_maison,prix_loyer_appartement_2p,prix_loyer_appartement_3p,mediane_du_revenu_disponible_2020,taux_de_chomage_des_15-64_ans_2019,population_2019,nombre_logements_2019,nombre_logements_vacants_2019,part_des_menages_emmenage_moins_2_ans_2019,taille_moyenne_menages_emmenage_moins_2_ans_2019,prix_m2_2022
17002,17500,45.3822931603,-0.469634235538,Agudelle,2732.59,3645.03,8.7,6.9,10.5,7.4,18860,5.9,133,72,6,11.7,2.1,1982.61
17003,17290,46.116506287,-0.944542003492,Aigrefeuille-d'Aunis,3538.18,3446.17,11.6,10.5,12.3,9.0,22710,9.3,4143,1972,130,13.0,2.3,2821.62
17004,17123,46.0183336808,-1.1696249203,Île-d'Aix,4729.27,9914.75,10.9,10.6,12.3,9.1,21180,19.7,207,459,12,11.6,2.3,6363.64
17005,17150,45.3827600659,-0.497845683209,Allas-Bocage,2732.59,3645.03,8.7,7.1,10.5,7.4,19170,12.9,196,119,19,12.9,2.2,1756.45
17006,17500,45.4726406982,-0.339612863623,Allas-Champagne,1808.1,1622.09,9.3,7.4,12.3,7.5,23160,2.4,252,125,9,0.9,2.0,1330.37
17007,17540,46.175505871,-0.904331941311,Anais,2069.13,4513.2,10.7,9.7,11.7,9.0,22600,8.2,313,146,7,7.7,3.1,1905.62
17008,17230,46.2630044811,-1.01765756102,Andilly,2423.58,3791.05,10.7,11.1,14.1,9.8,23520,7.9,2272,1031,68,10.9,2.3,2925.27
17009,17540,46.2061055614,-0.949106581868,Angliers,3690.23,4062.67,11.8,10.0,11.4,9.8,23690,9.8,1147,460,25,16.7,2.5,2971.29
17010,17690,46.1067042744,-1.10617840927,Angoulins,4977.11,5724.68,13.0,11.2,15.6,9.0,26490,11.8,4050,2309,151,14.1,2.1,4306.38
17011,17350,45.8451541952,-0.606940524552,Annepont,2729.87,4997.89,9.4,6.9,11.7,7.6,19890,13.6,394,192,16,9.7,3.3,1454.55
17012,17380,46.010330476,-0.69607751086,Annezay,1466.96,4997.0,9.0,8.0,11.7,8.5,22060,9.1,155,92,14,1.4,1.0,1756.45
17013,17400,45.9950682393,-0.482871743818,Antezant-la-Chapelle,5550.53,4881.0,9.2,6.8,11.7,8.5,21100,10.8,340,209,26,6.0,2.7,1430.49
17015,17120,45.5603861745,-0.873664735629,Arces,1967.97,4120.94,9.9,9.0,13.1,9.6,20240,13.3,760,497,36,11.2,2.2,2882.19
17016,17520,45.5228923637,-0.301856482703,Archiac,1956.56,2515.44,8.8,7.4,12.3,7.5,20890,15.6,782,443,56,12.4,1.7,1436.72
17017,17380,45.9283336011,-0.717220453831,Archingeay,2163.16,2290.99,9.2,6.9,12.2,8.5,19470,16.9,670,399,50,11.8,2.1,1762.82
17018,17290,46.0498769657,-0.890135865297,Ardillières,3355.93,3601.51,10.9,8.6,12.3,9.0,22000,7.6,855,394,33,10.3,2.3,2550.0
17019,17590,46.2111995219,-1.51504354145,Ars-en-Ré,8712.87,11048.32,12.1,12.0,14.5,9.4,24430,12.4,1302,1820,82,7.5,1.9,7732.76
17020,17520,45.5031576669,-0.323776644453,Arthenac,9797.09,2023.03,9.3,7.4,12.3,7.5,22570,8.4,349,162,18,10.4,2.6,1579.42
