N° auto,nom,région administrative,adresse,code INSEE,commune,population de la commune,DEP,N°UU,unité urbaine,population unité urbaine,situation géographique,écrans,fauteuils,semaines d'activité,séances,entrées 2021,entrées 2020,évolution entrées,tranche d'entrées,propriétaire,programmateur,AE,catégorie Art et Essai,label Art et Essai,genre,multiplexe,zone de la commune,nombre de films programmés,nombre de films inédits,nombre de films en semaine 1,PdM en entrées des films français,PdM en entrées des films américains,PdM en entrées des films européens,PdM en entrées des autres films,films Art et Essai,PdM en entrées des films Art et Essai,latitude,longitude,geolocalisation
166862,CASINO,NOUVELLE AQUITAINE,PLACE BUGEAU,17168,Fouras,4044.0,17,17115,Fouras,4044.0,06-autres communes et unités urbaines,1.0,282.0,32.0,646.0,7174.0,4020.0,78.45771144278608,De 5 à 10 000 entrées,SOCIETE D EXPLOITATION DU CASINO DE FOURAS,VEO (Baron),OUI,E,,FIXE,NON,I,140.0,125.0,6.0,68.96605177491861,20.33793210354984,8.44830258874593,2.247713532785615,61.0,34.97132227561618,45.990004,-1.097971,"45.990004, -1.097971"
204891,FAMILIA,NOUVELLE AQUITAINE,RUE SADI CARNOT,17197,Jonzac,3679.0,17,17201,Jonzac,5653.0,06-autres communes et unités urbaines,2.0,354.0,32.0,822.0,17962.0,10802.0,66.28402147750417,De 10 à 20 000 entrées,MARTEAU FLORENCE,VEO (Baron),OUI,E,RDJP,FIXE,NON,C,130.0,110.0,27.0,51.6719158346177,35.240903303625274,12.403672183877235,0.6835086778797829,45.0,20.679488038598137,45.445545,-0.433778,"45.445545, -0.433778"
246763,L'ESTRAN,NOUVELLE AQUITAINE,PLACE CARNOT,17219,Marennes,6353.0,17,17206,Marennes,9939.0,06-autres communes et unités urbaines,1.0,206.0,32.0,569.0,10297.0,7149.0,44.03413064764303,De 10 à 20 000 entrées,LIEN OLERONNAIS POUR LA CULTURE L  ANIMATION ET LES LOISIRS,VEO (Baron),OUI,E,JPPR,FIXE,NON,C,157.0,120.0,6.0,53.45424338917347,26.069500207669943,15.865983663297795,4.610272739858785,60.0,30.36134570123217,45.821371,-1.108436,"45.821371, -1.108436"
252212,LE FORUM,NOUVELLE AQUITAINE,RUE DES DOUVES,17224,Matha,2241.0,17,17101,Matha,2241.0,06-autres communes et unités urbaines,1.0,154.0,32.0,167.0,2715.0,1897.0,43.12071692145493,De 2 à 5 000 entrées,OFFICE MUNICIPAL DES SPORTS LOISIRS CULTURE ANIMATION,VEO (Baron),NON,NON,,FIXE,NON,I,104.0,90.0,0.0,59.74358974358975,27.33333333333333,11.487179487179487,1.435897435897436,46.0,33.43589743589744,45.868856,-0.320748,"45.868856, -0.320748"
318483,LE VAUBAN,NOUVELLE AQUITAINE,16 RUE GAMBETTA,17283,Pons,4451.0,17,17116,Pons,4451.0,06-autres communes et unités urbaines,2.0,199.0,32.0,750.0,5189.0,3635.0,42.75103163686382,De 5 à 10 000 entrées,COMMUNE DE PONS,VEO (Baron),OUI,E,,FIXE,NON,I,139.0,124.0,0.0,56.718380226137256,30.10780962398107,12.306074151985277,0.8677359978963977,49.0,25.19063896923481,45.580586,-0.546711,"45.580586, -0.546711"
346502,LIDO,NOUVELLE AQUITAINE,65 FRONT DE MER,17306,Royan,19028.0,17,17402,Royan,37003.0,05-Unités urbaines de 20 000 à 100 000 hbts,6.0,1076.0,32.0,5569.0,136275.0,79635.0,71.12450555660199,De 100 à 150 000 entrées,CINÉMA & LOISIRS,CINEWEST (Taillandier),NON,NON,,FIXE,NON,C,135.0,112.0,98.0,46.8035765701968,40.84029166634242,11.847194228928508,0.5089375345322678,24.0,8.72975728193116,45.62416,-1.025656,"45.62416, -1.025656"
411461,ELDORADO,NOUVELLE AQUITAINE,5 RUE DE LA REPUBLIQUE,17385,Saint-Pierre-d'Oléron,6781.0,17,17204,Saint-Pierre-d'Oléron,6781.0,06-autres communes et unités urbaines,3.0,630.0,32.0,2300.0,52004.0,32964.0,57.75998058488048,De 50 à 80 000 entrées,LIEN OLERONNAIS POUR LA CULTURE L  ANIMATION ET LES LOISIRS,VEO (Baron),OUI,E,RDJPPR,FIXE,NON,I,218.0,166.0,64.0,57.18369803533812,30.680108335841105,10.698164309359012,1.43802931946176,96.0,27.37844460685267,45.943128,-1.308557,"45.943128, -1.308557"
433913,LE CRISTAL,NOUVELLE AQUITAINE,99 AVENUE BEAUPREAU,17452,La Tremblade,4403.0,17,17301,La Tremblade,12184.0,06-autres communes et unités urbaines,1.0,259.0,32.0,569.0,7237.0,5143.0,40.71553567956446,De 5 à 10 000 entrées,SECIC,VEO (Baron),OUI,E,JP,FIXE,NON,C,146.0,124.0,10.0,69.18249660786974,20.92944369063772,8.293758480325645,1.5943012211668928,72.0,38.75508819538671,45.796268,-1.166123,"45.796268, -1.166123"
122291,LA MALINE,NOUVELLE AQUITAINE,LE MAIL,17121,La Couarde-sur-Mer,1191.0,17,17118,Ars-en-Ré,4547.0,06-autres communes et unités urbaines,1.0,294.0,22.0,339.0,3777.0,4367.0,-13.510419051980763,De 2 à 5 000 entrées,ASSOCIATION RETAISE DE DEVELOPPEMENT CULTUREL,Barteau,OUI,E,,FIXE,NON,C,80.0,64.0,3.0,80.90128755364807,15.808297567954222,2.145922746781116,1.144492131616595,37.0,36.98140200286123,46.191994,-1.426164,"46.191994, -1.426164"
339664,APOLLO CINE,NOUVELLE AQUITAINE,COURS ROY-BRY,17299,Rochefort,24270.0,17,17403,Rochefort,39092.0,05-Unités urbaines de 20 000 à 100 000 hbts,8.0,1310.0,32.0,7165.0,116668.0,79057.0,47.57453482930038,De 100 à 150 000 entrées,CINEFORTIS,Lemonnier,OUI,D,,FIXE,OUI,C,154.0,135.0,125.0,41.78805352864548,43.90606068887614,13.336612828291113,0.9692729541872772,42.0,13.486012043034265,45.93763,-0.966174,"45.93763, -0.966174"
387501,LE RELAIS,NOUVELLE AQUITAINE,136 BLD DE LA COTE DE BEAUTE,17333,Saint-Georges-de-Didonne,5455.0,17,17402,Royan,37003.0,05-Unités urbaines de 20 000 à 100 000 hbts,1.0,192.0,32.0,648.0,14366.0,12627.0,13.772075710778491,De 10 à 20 000 entrées,MARTEAU FLORENCE,VEO (Baron),OUI,D,RDJPPR,FIXE,NON,B,135.0,106.0,31.0,72.64787270840539,12.305430646835006,11.37149775164303,3.6751988931165687,89.0,80.44794188861985,45.59922,-0.993953,"45.59922, -0.993953"
703700,LE PALMYR,NOUVELLE AQUITAINE,AVENUE PIERRE SIBARD,17225,Les Mathes,2073.0,17,00000,Zone rurale,14862638.0,04-Unités urbaines de 100 000 hbts ou plus,1.0,200.0,30.0,130.0,1576.0,1127.0,39.840283939662825,Moins de 2000 entrées,COMMUNE DES MATHES,VEO (Baron),NON,NON,,FIXE,NON,R,87.0,74.0,0.0,73.03807303807304,19.502719502719504,7.459207459207459,0.0,24.0,19.19191919191919,45.714055,-1.142718,"45.714055, -1.142718"
339871,CGR DRAGON,NOUVELLE AQUITAINE,8 COURS DES DAMES,17300,La Rochelle,78264.0,17,17601,La Rochelle,134062.0,04-Unités urbaines de 100 000 hbts ou plus,6.0,1024.0,32.0,6136.0,64514.0,57004.0,13.17451406918813,De 50 à 80 000 entrées,CGR CINEMAS,LES FILMS DE LA ROCHELLE,OUI,B,,FIXE,NON,C,247.0,217.0,203.0,64.21244858600856,15.612786510333995,14.971071629716862,5.203693273940573,173.0,72.50524806717526,46.157744,-1.153595,"46.157744, -1.153595"
370483,LE PALACE,NOUVELLE AQUITAINE,RUE DES TROIS  FRERES NADEAU,17434,Surgères,6974.0,17,17203,Surgères,6974.0,06-autres communes et unités urbaines,1.0,210.0,32.0,793.0,15946.0,10959.0,45.505976822702806,De 10 à 20 000 entrées,ESPACE CULTUREL LE PALACE,Garat,OUI,E,JP,FIXE,NON,I,187.0,168.0,42.0,53.00567695777277,34.46613266972548,10.887316276537836,1.6408740959639163,80.0,20.763667470254298,46.108206,-0.750249,"46.108206, -0.750249"
408744,CINEMA MICHEL LEGRAND,NOUVELLE AQUITAINE,31 BIS RUE DU LOGIS VERT,17380,Saint-Palais-sur-Mer,3990.0,17,17402,Royan,37003.0,05-Unités urbaines de 20 000 à 100 000 hbts,1.0,175.0,32.0,493.0,6391.0,2630.0,143.00380228136882,De 5 à 10 000 entrées,VALZ MICHEL,CINEODE (Défossé),NON,NON,,FIXE,NON,B,104.0,93.0,12.0,56.860445635784885,32.5180097168705,10.504272072373931,0.1172725749706818,35.0,13.486346121628417,45.64428,-1.088823,"45.64428, -1.088823"
416021,FLORIDA,NOUVELLE AQUITAINE,65 QUAI DES FLEURS,17397,Saint-Savinien,2550.0,17,00000,Zone rurale,14862638.0,04-Unités urbaines de 100 000 hbts ou plus,1.0,188.0,32.0,252.0,4290.0,2282.0,87.99298860648554,De 2 à 5 000 entrées,ECRAN SAVINOIS,VEO (Baron),OUI,E,,FIXE,NON,R,116.0,96.0,0.0,55.53390491036632,29.50116913484021,12.314886983632112,2.650038971161341,55.0,46.25876851130163,45.87583,-0.681096,"45.87583, -0.681096"
271162,ANDRONIS,NOUVELLE AQUITAINE,CENTRE CULTUREL1 RUE JACQUES BEAUMONT,17240,Montendre,3279.0,17,17112,Montendre,3647.0,06-autres communes et unités urbaines,1.0,120.0,31.0,239.0,3600.0,1971.0,82.64840182648402,De 2 à 5 000 entrées,CLAP MONTENDRE,,OUI,E,,FIXE,NON,C,148.0,132.0,1.0,47.871978209056856,43.30949948927477,7.490636704119851,1.3278855975485189,65.0,23.83384405856316,45.283756,-0.408153,"45.283756, -0.408153"
339911,MEGA CGR,NOUVELLE AQUITAINE,AVENUE HENRI BECQUEREL,17300,La Rochelle,78264.0,17,17601,La Rochelle,134062.0,04-Unités urbaines de 100 000 hbts ou plus,12.0,2272.0,32.0,14294.0,302291.0,190712.0,58.50654389865346,De 300 à 450 000 entrées,RAYLUMOND,LES FILMS DE LA ROCHELLE,NON,NON,,FIXE,OUI,C,170.0,147.0,140.0,37.787347960193216,47.40869053202378,13.8618538843111,0.9421076234718992,29.0,7.6628404955650415,46.147254,-1.153689,"46.147254, -1.153689"
392685,CINEVALS,NOUVELLE AQUITAINE,1 RUE LACOUE,17347,Saint-Jean-d'Angély,7322.0,17,17207,Saint-Jean-d'Angély,8607.0,06-autres communes et unités urbaines,3.0,463.0,32.0,654.0,13907.0,0.0,,De 10 à 20 000 entrées,VEO-LENA-SAINTONGE,VEO (Baron),OUI,E,JPPR,FIXE,NON,C,189.0,138.0,7.0,49.850899742930594,39.095115681233935,9.89203084832905,1.161953727506427,76.0,22.375321336760926,45.944226,-0.527289,"45.944226, -0.527289"
428921,CINE REX,NOUVELLE AQUITAINE,13 RUE DE L'EGLISE,17448,Tonnay-Boutonne,1175.0,17,00000,Zone rurale,14862638.0,04-Unités urbaines de 100 000 hbts ou plus,1.0,173.0,31.0,162.0,1651.0,1613.0,2.3558586484810915,Moins de 2000 entrées,CINE REX,Barteau,OUI,E,,FIXE,NON,R,81.0,68.0,0.0,74.50787401574803,15.649606299212598,5.019685039370079,4.822834645669291,36.0,29.429133858267715,45.966024,-0.705655,"45.966024, -0.705655"
259022,FAMILY FUN PARK,NOUVELLE AQUITAINE,49 ROUTE DE SEMUSSAC,17230,Meschers-sur-Gironde,3189.0,17,17402,Royan,37003.0,05-Unités urbaines de 20 000 à 100 000 hbts,1.0,133.0,29.0,557.0,5444.0,3516.0,54.83503981797497,De 5 à 10 000 entrées,FAMILY FUN BOWLING,VEO (Baron),OUI,D,,FIXE,NON,B,138.0,117.0,7.0,52.67480056311591,29.845143125293287,15.908024401689346,1.5720319099014546,59.0,25.011731581417173,45.564042,-0.95352,"45.564042, -0.95352"
272481,LE CINE,NOUVELLE AQUITAINE,ALLEE DES PLATANES,17241,Montguyon,1588.0,17,00000,Zone rurale,14862638.0,04-Unités urbaines de 100 000 hbts ou plus,1.0,133.0,32.0,331.0,5514.0,3626.0,52.06839492553779,De 5 à 10 000 entrées,ASS LES AMIS DU CINEMA,Garat,OUI,E,JP,FIXE,NON,R,127.0,111.0,0.0,54.47976878612717,32.16763005780347,11.878612716763003,1.4739884393063585,48.0,21.647398843930635,45.217551,-0.186333,"45.217551, -0.186333"
339852,LA COURSIVE,NOUVELLE AQUITAINE,4 RUE ST JEAN DU PEROT,17300,La Rochelle,78264.0,17,17601,La Rochelle,134062.0,04-Unités urbaines de 100 000 hbts ou plus,2.0,1280.0,25.0,805.0,24973.0,30561.0,-18.28474199142698,De 20 à 30 000 entrées,LA COURSIVE,,OUI,B,RDJPPR,FIXE,NON,C,72.0,43.0,32.0,73.52518883825458,4.838004869217804,15.881141144890442,5.755665147637181,41.0,98.72026967975528,46.156657,-1.154697,"46.156657, -1.154697"
349492,GALLIA,NOUVELLE AQUITAINE,67 COURS NATIONAL,17415,Saintes,26546.0,17,17401,Saintes,30762.0,05-Unités urbaines de 20 000 à 100 000 hbts,2.0,520.0,32.0,1251.0,21645.0,15361.0,40.9087950003255,De 20 à 30 000 entrées,PIZZO ANTOINE,VEO (Baron),OUI,D,RDJPPR,FIXE,NON,C,148.0,83.0,46.0,78.53582110810426,9.834781370175188,8.510183734510754,3.1192137872098,79.0,98.81071072496796,45.747157,-0.634183,"45.747157, -0.634183"
349524,ATLANTIC CINE,NOUVELLE AQUITAINE,ROUTE DE ROYAN,17415,Saintes,26546.0,17,17401,Saintes,30762.0,05-Unités urbaines de 20 000 à 100 000 hbts,8.0,1256.0,32.0,6629.0,144537.0,110194.0,31.165943699293976,De 100 à 150 000 entrées,BROCELIANDE,GPCI (Vintrou),NON,NON,,FIXE,OUI,C,137.0,126.0,111.0,41.304470894603504,46.66133574875808,11.436941845818533,0.5972515108198763,26.0,6.414084945582179,45.74154,-0.691811,"45.74154, -0.691811"
387092,JEANNE D ARC,NOUVELLE AQUITAINE,AVENUE DE SAINTES,17331,Saint-Genis-de-Saintonge,1305.0,17,00000,Zone rurale,14862638.0,04-Unités urbaines de 100 000 hbts ou plus,1.0,282.0,32.0,136.0,3292.0,1923.0,71.19084763390535,De 2 à 5 000 entrées,ARTS ET TECHNIQUES,VEO (Baron),NON,NON,,FIXE,NON,R,102.0,92.0,0.0,50.70780399274047,31.724137931034484,17.568058076225046,0.0,33.0,16.76950998185118,45.485115,-0.566824,"45.485115, -0.566824"
