id_lieu,id_local,nom_lieu,ad_lieu,com_lieu,insee,type,date_maj,ouvert,source,Xlong,Ylat,nbre_pl,nbre_pmr,duree,horaires,proprio,lumiere,comm
17003-C-001,,Aire de covoiturage d'Aigrefeuille Place du mai,6 Rue de la Poste. 17290 Aigrefeuille-d'Aunis,AIGREFEUILLE D AUNIS,17003,Aire de covoiturage,2019-08-29,True,221600018.0,-0.936286,46.115006,15.0,,,,Aire aménagée en liaison avec la Commune d'Aifrefeuille,,
17003-C-002,,Aire de covoiturage d'Aigrefeuille Stade,61 Rue du Vieux Fief. 17290 Aigrefeuille-d'Aunis,AIGREFEUILLE D AUNIS,17003,Aire de covoiturage,2019-08-29,True,221600018.0,-0.943357,46.123345,30.0,,,,Aire aménagée par le Département,,
17009-C-001,,Aire de covoiturage d'Angliers Echangeur,D109. 17540 Angliers,ANGLIERS,17009,Aire de covoiturage,2019-08-29,True,221600018.0,-0.945902,46.225145,10.0,,,,aire aménagée par le Département,,
17010-C-001,,Aire de covoiturage d'Angoulins Paradis,Les Cadelis E. 17690 Angoulins,ANGOULINS,17010,Aire de covoiturage,2019-08-29,True,221600018.0,-1.09308,46.104536,22.0,,,,aire aménagée par le Département,,
17016-C-001,,Aire de covoiturage d'Archiac Le Tonneau,100 Route de Cognac. 17520 Archiac,ARCHIAC,17016,Aire de covoiturage,2019-08-29,True,221600018.0,-0.303478,45.528005,15.0,,,,Aire aménagée en liaison avec la Commune d'Archiac,,
17021-C-001,,Aire de covoiturage d'Arvert l'Etrade,2 Ter Rue des Justices. 17530 Arvert,ARVERT,17021,Aire de covoiturage,2019-08-29,True,221600018.0,-1.140648,45.756669,15.0,,,,Aire aménagée par le Département,,
17024-C-001,,Aire de covoiturage du Stade,14 Route de Poitiers. 17470 Aulnay,AULNAY,17024,Aire de covoiturage,2019-08-29,True,221600018.0,-0.354371,46.024441,15.0,,,,aire aménagée avec la commune d'Aulnay,,
17041-C-001,,Aire de covoiturage de Benon Echangeur,RN11. Les Quatre Routes. 17170 Benon,BENON,17041,Aire de covoiturage,2019-08-29,True,221600018.0,-0.80858,46.220975,12.0,,,,Aire aménagée par le Département,,
17045-C-001,,Aire de covoiturage de Beurlay Centre,6 Résidence du Moulin. 17250 Beurlay,BEURLAY,17045,Aire de covoiturage,2019-08-29,True,221600018.0,-0.838496,45.861992,14.0,,,,aire aménagée avec la commune de Beurlay,,
17058-C-001,,Aire de covoiturage de Bourcefranc-le-Chapus Pont,Grand Fief de Sinche. 17560 Bourcefranc-le-Chapus,BOURCEFRANC LE CHAPUS,17058,Aire de covoiturage,2019-08-29,True,221600018.0,-1.162467,45.846118,20.0,,,,aire aménagée par le Département,,
17060-C-001,,Aire de covoiturage de Boutenac-Touvent Mairie,44 Route Céte de Beauté. 17120 Boutenac-Touvent,BOUTENAC TOUVENT,17060,Aire de covoiturage,2019-08-29,True,221600018.0,-0.755722,45.504361,12.0,,,,Aire aménagée en liaison avec la Commune de Boutenac-Touvent,,
17094-C-001,,Aire de covoiturage de Chatelaillon Le Haut-Rillon,Avenue du Haut Rillon. 17340 Chételaillon-Plage,CHATELAILLON PLAGE,17094,Aire de covoiturage,2019-08-29,True,221600018.0,-1.079149,46.080525,12.0,,,,Aire aménagée par le Département,,
17102-C-001,,Aire de covoiturage de Chermignac Les Tilleuls,10 Avenue du Littoral. 17460 Chermignac,CHERMIGNAC,17102,Aire de covoiturage,2019-08-29,True,221600018.0,-0.675533,45.684884,12.0,,,,Aire aménagée avec la Commune de Chermignac,,
17104-C-001,,Aire de covoiturage de Chevanceaux RN,D910. 17210 Chevanceaux,CHEVANCEAUX,17104,Aire de covoiturage,2019-08-29,True,221600018.0,-0.238894,45.29498,20.0,,,,Aire aménagée en liaison avec la Commune de Chevanceaux,,
17120-C-001,,Aire de covoiturage de Corme-Royal Les Ormeaux,12 Résidence les Ormeaux. 17600 Corme-Royal,CORME ROYAL,17120,Aire de covoiturage,2019-08-29,True,221600018.0,-0.813305,45.740425,15.0,,,,Aire aménagée en liaison avec la Commune de Corme-Royal,,
17127-C-001,,Aire de covoiturage de Couréon Vallée d'Aulnes,52 Rue de Benon. 17170 Couréon,COURCON,17127,Aire de covoiturage,2019-08-29,True,221600018.0,-0.814227,46.235069,15.0,,,,Aire aménagée par le Département,,
17131-C-001,,Aire de covoiturage de Cozes Bonne nouvelle,RD 730. Route de Bordeaux. 17120 Cozes,COZES,17131,Aire de covoiturage,2019-08-29,True,221600018.0,-0.820842,45.576344,10.0,,,,aire aménagée par le Département,,
17140-C-001,,Aire de covoiturage de Dolus d'Oléron Délidon,Route du Viaduc. 17550 Dolus-d'Oléron,DOLUS D OLERON,17140,Aire de covoiturage,2019-08-29,True,221600018.0,-1.252945,45.901564,15.0,,,,Aire aménagée par le Département,,
17146-C-001,,Aire de covoiturage d'Echillais Pimale,D733. 17620 échillais,ECHILLAIS,17146,Aire de covoiturage,2019-08-29,True,221600018.0,-0.965332,45.905819,25.0,,,,aire aménagée par le Département,,
17196-C-001,,Aire de covoiturage de Pons Bonnerme,46 Rue de Chantegeay. 17260 Jazennes,JAZENNES,17196,Aire de covoiturage,2019-08-29,True,221600018.0,-0.593109,45.57334,15.0,,,,aire aménagée par le Département,,
17218-C-001,,Aire de covoiturage de Marans Place Saint-Christophe,Rue des Moulins. 17230 Marans,MARANS,17218,Aire de covoiturage,2019-08-29,True,221600018.0,-0.991178,46.305629,15.0,,,,aire aménagée avec la commune de Marans,,
17219-C-001,,Aire de covoiturage de Marennes de Lattre de Tassigny,33 Avenue de Lattre de Tassigny. 17320 Marennes,MARENNES,17219,Aire de covoiturage,2019-08-29,True,221600018.0,-1.118548,45.82938,16.0,,,,Aire aménagée par le Département,,
17219-C-002,,Aire de covoiturage de Marennes Verte Ostréa,D728. 17320 Marennes,MARENNES,17219,Aire de covoiturage,2019-08-29,True,221600018.0,-1.120324,45.830416,10.0,,,,aire aménagée par le Département,,
17224-C-001,,Aire de covoiturage de Matha Rond-Point de l'Europe,6 Rue des Arts. 17160 Matha,MATHA,17224,Aire de covoiturage,2019-08-29,True,221600018.0,-0.305257,45.866659,12.0,,,,aire aménagée avec la CDC du Pays de Matha,,
17228-C-001,,Aire de covoiturage de Medis G. Brassens,2 Route de la Gare. 17600 Médis,MEDIS,17228,Aire de covoiturage,2019-08-29,True,221600018.0,-0.963378,45.645209,10.0,,,,Aire aménagée avec la Commune de Medis,,
17248-C-001,,Aire de covoiturage de Mortagne stade,5 Rue du Stade. 17120 Mortagne-sur-Gironde,MORTAGNE SUR GIRONDE,17248,Aire de covoiturage,2019-08-29,True,221600018.0,-0.788384,45.480576,10.0,,,,Aire aménagée en liaison avec la Commune de Mortagne-Gironde,,
17274-C-001,,Aire de covoiturage de Périgny Chevaliers,ZI de perigny avenue Joliot-Curie. 17180 Perigny,PERIGNY,17274,Aire de covoiturage,2019-08-29,True,221600018.0,-1.110087,46.155925,17.0,,,,Aire aménagée par le Département,,
17283-C-001,,Aire de covoiturage de Pons Leclerc,Rue de Coudennes. 17800 Pons,PONS,17283,Aire de covoiturage,2019-08-29,True,221600018.0,-0.56147,45.574394,15.0,,,,Aire aménagée avec le Leclerc de Pons,,
17291-C-001,,Aire de covoiturage de Dompierre-sur-Mer Chagnolet,6110-6111 Rue de la Belle étoile. 17138 Puilboreau,PUILBOREAU,17291,Aire de covoiturage,2019-08-29,True,221600018.0,-1.092224,46.182182,72.0,,,,aire aménagée par le Département,,
17292-C-001,,Aire de covoiturage de Puy-du-Lac La Ragoterie,La Ragoterie. 17380 Puy-du-Lac,PUY DU LAC,17292,Aire de covoiturage,2019-08-29,True,221600018.0,-0.729336,45.965364,15.0,,,,aire aménagée par le Département,,
17297-C-001,,Aire de covoiturage de Rivedoux Sablanceaux,D735. 17940 Rivedoux-Plage,RIVEDOUX PLAGE,17297,Aire de covoiturage,2019-08-29,True,221600018.0,-1.257747,46.161639,30.0,,,,aire aménagée par le Département,,
17299-C-001,,Aire de covoiturage de Rochefort Les Séurs,1B Rue Hubert Pennevert. 17300 Rochefort,ROCHEFORT,17299,Aire de covoiturage,2019-08-29,True,221600018.0,-0.958272,45.959106,26.0,,,,Aire aménagée par le Département,,
17300-C-001,,Aire de covoiturage de La Rochelle Belvédére,D21. 17000 La Rochelle,LA ROCHELLE,17300,Aire de covoiturage,2019-08-29,True,221600018.0,-1.218497,46.174284,25.0,,,,Aire aménagée par le Département,,
17306-C-001,,Aire de covoiturage de Royan Belmont,Ave. Louis Boucher. 17200 Royan,ROYAN,17306,Aire de covoiturage,2019-08-29,True,221600018.0,-1.000643,45.625212,20.0,,,,Aire aménagée par le Département,,
17308-C-001,,Aire de covoiturage de Saint-Agnant Bridoire,41 Avenue du Canal de la Bridoire. 17620 Saint-Agnant,ST AGNANT,17308,Aire de covoiturage,2019-08-29,True,221600018.0,-0.962841,45.875418,15.0,,,,aire aménagée avec la commune de Saint-Agnant,,
