Appellation officielle,Dénomination principale,Secteur Public/Privé,Code postal,lat,lon
Collège Jean Monnet,COLLEGE,Public,17170,46.24185874657446,-0.8089399398295597
Lycée professionnel Gilles Jamain,LYCEE PROFESSIONNEL,Public,17312,45.93024007889999,-0.9668497895338769
Lycée polyvalent Léonce Vieljeux,LYCEE POLYVALENT,Public,17026,46.1775939773852,-1.1510104830182661
Collège Jean Monnet,COLLEGE,Public,17620,45.865212795883394,-0.9650504002109606
Collège Raymond Bouyer,COLLEGE,Public,17770,45.85174928386079,-0.531240095711671
Lycée Polyvalent du Pays d'Aunis - Lycée des métiers du bois,LPO LYCEE DES METIERS,Public,17700,46.10899579921577,-0.7485695907294311
Collège La Fayette,COLLEGE,Public,17300,45.929442164610386,-0.9618604247561143
Collège Marcel Pagnol,COLLEGE,Public,17380,45.96768810599117,-0.7119295900373674
Lycée général et technologique privé Saint Louis,LYCEE GEN.ET TECHNOL.PRIVE,Privé,17250,45.82987564654546,-0.8709198429769531
Lycée polyvalent privé Fénelon Notre-Dame,LYCEE POLYVALENT PRIVE,Privé,17005,46.1652442222621,-1.15031015056318
Lycée général et technologique privé Notre Dame de Recouvrance,LYCEE GEN.ET TECHNOL.PRIVE,Privé,17100,45.74994684204993,-0.6520099404587464
Collège privé Saint-Sacrement,COLLEGE PRIVE,Privé,17290,46.11810673978342,-0.9330905423919326
Collège privé Marie Eustelle,COLLEGE PRIVE,Privé,17230,46.30846121586396,-0.9926503372797246
Lycée polyvalent Jean Hyppolite - Lycée des métiers de la santé et du social,LPO LYCEE DES METIERS,Public,17502,45.441544358244826,-0.4324374334047962
Ecole élémentaire Antezant la Chapelle,ECOLE ELEMENTAIRE PUBLIQUE,Public,17400,45.98153223732694,-0.4567398433141775
Ecole primaire Bignay,ECOLE PRIMAIRE PUBLIQUE,Public,17400,45.915976962138984,-0.60269969704323
Ecole maternelleLandes,ECOLE MATERNELLE PUBLIQUE,Public,17380,45.99125501309035,-0.5978096842871118
Ecole élémentaire Essouvert,ECOLE ELEMENTAIRE PUBLIQUE,Public,17400,45.9885720652826,-0.5215101618421736
Ecole primaire Beauvais sur Matha,ECOLE PRIMAIRE PUBLIQUE,Public,17490,45.882617681568746,-0.18840985846412317
Ecole primaire Chérac,ECOLE PRIMAIRE PUBLIQUE,Public,17610,45.70375334815235,-0.4384099800669038
Ecole élémentaire Prignac,ECOLE ELEMENTAIRE PUBLIQUE,Public,17160,45.82840745558899,-0.35273969224331453
