N° auto;nom;région administrative;adresse;code INSEE;commune;population de la commune;DEP;N°UU;unité urbaine;population unité urbaine;situation géographique;écrans;fauteuils;semaines d'activité;séances;entrées 2021;entrées 2020;évolution entrées;tranche d'entrées;propriétaire;programmateur;AE;catégorie Art et Essai;label Art et Essai;genre;multiplexe;zone de la commune;nombre de films programmés;nombre de films inédits;nombre de films en semaine 1;PdM en entrées des films français;PdM en entrées des films américains;PdM en entrées des films européens;PdM en entrées des autres films;films Art et Essai;PdM en entrées des films Art et Essai;latitude;longitude;geolocalisation
54;GAUMONT CHAMPS ELYSEES MARIGNAN;ILE-DE-FRANCE;27/33 AVENUE DES CHAMPS ELYSEES;75108;Paris 8e Arrondissement;36827.0;75;00851;Paris;10909327.0;01-Paris;6.0;1597.0;32.0;5335.0;169651.0;80996.0;109.45602251963061;De 150 à 200 000 entrées;LES CINEMAS PATHE GAUMONT;PATHE GAUMONT;NON;NON;;FIXE;NON;C;87.0;77.0;66.0;22.07706987580444;55.57916789577928;20.830900192042577;1.5128620363737064;9.0;7.583574640747942;48.869654;2.306873;48.869654, 2.306873
311;GRAND REX;ILE-DE-FRANCE;5 BD POISSONNIERE;75102;Paris 2e Arrondissement;21561.0;75;00851;Paris;10909327.0;01-Paris;7.0;4274.0;32.0;6119.0;473518.0;148381.0;219.12306831737217;De 450 à 700 000 entrées;THEATRE LE REX;UGC;NON;NON;;FIXE;NON;C;127.0;82.0;78.0;16.72235729945627;66.82715067725017;10.889318889006347;5.561173134287198;5.0;10.08084717172785;48.86872;2.347608;48.86872, 2.347608
451;UGC MONTPARNASSE;ILE-DE-FRANCE;83 BD DU MONTPARNASSE;75106;Paris 6e Arrondissement;41384.0;75;00851;Paris;10909327.0;01-Paris;7.0;1592.0;32.0;7027.0;190458.0;124223.0;53.31943359925295;De 150 à 200 000 entrées;UGC SAS;UGC;NON;NON;;FIXE;NON;C;81.0;74.0;74.0;46.69724520162721;37.31072705927321;15.992027739099571;0.0;18.0;28.506839216971088;48.84351;2.325646;48.84351, 2.325646
483;ENTREPOT;ILE-DE-FRANCE;7 ET 9 RUE FRANCIS DE PRESSENSE;75114;Paris 14e Arrondissement;137574.0;75;00851;Paris;10909327.0;01-Paris;3.0;268.0;32.0;2873.0;29174.0;19479.0;49.77154884747677;De 20 à 30 000 entrées;MANUFACTURE A FILMS;;OUI;A;RDJP;FIXE;NON;C;219.0;119.0;22.0;73.63973736797031;9.05509563231516;10.967741935483872;6.337425064230659;101.0;89.10077076791322;48.83393;2.31652;48.83393, 2.31652
531;MK2 BEAUBOURG;ILE-DE-FRANCE;50 RUE RAMBUTEAU;75103;Paris 3e Arrondissement;34305.0;75;00851;Paris;10909327.0;01-Paris;6.0;557.0;32.0;8357.0;158940.0;129665.0;22.57741102070721;De 150 à 200 000 entrées;MK2 CINEMAS;MK2 (Karmitz);OUI;A;RDPR;FIXE;NON;C;212.0;77.0;65.0;53.989758358986414;19.598709876497857;14.89813461072213;11.513397153793594;74.0;98.86710111600091;48.861555;2.352217;48.861555, 2.352217
612;UGC MAILLOT;ILE-DE-FRANCE;PALAIS CONGRES PL PORTE MAILLOT;75117;Paris 17e Arrondissement;167284.0;75;00851;Paris;10909327.0;01-Paris;4.0;762.0;32.0;4159.0;62847.0;50265.0;25.031333930170096;De 50 à 80 000 entrées;PARAFRANCE COMMUNICATION;UGC;NON;NON;;FIXE;NON;C;100.0;72.0;49.0;68.16731003826808;10.245483865577112;20.82017345966812;0.7670326364866897;50.0;42.78504704132618;48.878512;2.282965;48.878512, 2.282965
721;MK2 ODEON COTE SAINT-MICHEL;ILE-DE-FRANCE;7 RUE HAUTEFEUILLE;75106;Paris 6e Arrondissement;41384.0;75;00851;Paris;10909327.0;01-Paris;4.0;510.0;32.0;5469.0;76108.0;60802.0;25.173514029143778;De 50 à 80 000 entrées;LES CINEMAS PATHE GAUMONT;Karmitz;OUI;A;RD;FIXE;NON;C;99.0;77.0;42.0;66.86649789968565;8.220435641360893;10.776977216457563;14.136089242495897;64.0;94.08295546220825;48.852188;2.342788;48.852188, 2.342788
1681;UGC CINE CITE LES HALLES;ILE-DE-FRANCE;101 RUE BERGER;75101;Paris 1er Arrondissement;16236.0;75;00851;Paris;10909327.0;01-Paris;27.0;3896.0;32.0;37275.0;1408789.0;1082659.0;30.12305813741908;De 1 à 1,5 million d'entrées;UGC CINE CITE ILE DE FRANCE;UGC;NON;NON;;FIXE;OUI;C;350.0;294.0;290.0;43.14824447238529;39.63660067053114;13.594772299721678;3.620382557361901;172.0;41.87582446121713;48.861424;2.345829;48.861424, 2.345829
3222;PATHE WEPLER;ILE-DE-FRANCE;132 -140 BOULEVARD DE CLICHY;75118;Paris 18e Arrondissement;194491.0;75;00851;Paris;10909327.0;01-Paris;11.0;1757.0;32.0;14289.0;424464.0;255340.0;66.23482415602726;De 300 à 450 000 entrées;LES IMAGES;PATHE GAUMONT;NON;NON;;FIXE;OUI;C;191.0;173.0;145.0;46.158275968479906;37.84306531210287;15.252449902441276;0.7462088169759468;75.0;28.22788162712886;48.883938;2.328034;48.883938, 2.328034
5841;MK2 BASTILLE COTE FAUBOURG SAINT-ANTOINE;ILE-DE-FRANCE;5 RUE DU FAUBOURG ST ANTOINE;75111;Paris 11e Arrondissement;146735.0;75;00851;Paris;10909327.0;01-Paris;3.0;423.0;32.0;3998.0;85778.0;78853.0;8.782164280369802;De 80 à 100 000 entrées;BASTILLE SAINT ANTOINE (DOUBLON N° 95 7200);Karmitz;OUI;A;RD;FIXE;NON;C;57.0;48.0;40.0;64.46288177064574;10.624371219554606;10.690199098282264;14.222547911517394;46.0;94.50647721485971;48.853157;2.370719;48.853157, 2.370719
